# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
-5.47560296E+00

# df/dalpha_inf [rad]
 1.14429505E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
      49 ,        9 ,  6.57721072E-01 ,  1.13612948E-01 ,  4.07791187E-05 , -7.67471792E-06
      50 ,        9 ,  7.07483900E-01 ,  1.09313599E-01 ,  2.27482036E-05 ,  2.89072082E-05
      51 ,        9 ,  7.54787418E-01 ,  1.04151689E-01 , -3.66304872E-05 ,  3.48880081E-05
      52 ,        9 ,  7.99058878E-01 ,  9.84339522E-02 , -1.06471916E-04 ,  6.15801985E-05
      53 ,        9 ,  8.39837579E-01 ,  9.24550295E-02 ,  9.91427522E-06 ,  6.49556625E-04
      54 ,        9 ,  8.76839899E-01 ,  8.64082986E-02 ,  2.65198187E-04 , -1.14504414E-03
      55 ,        9 ,  9.10035023E-01 ,  8.02956178E-02 ,  7.26539583E-03 ,  1.50745858E-03
      56 ,        9 ,  9.39692650E-01 ,  7.38471435E-02 ,  2.12734341E-03 , -2.06577454E-03
      57 ,        9 ,  9.66335233E-01 ,  6.64336659E-02 , -3.74972466E-04 , -5.40971497E-04
      58 ,        9 ,  9.90490417E-01 ,  5.68996188E-02 , -6.05395045E-04 , -1.80926631E-05
      59 ,        9 ,  1.01193051E+00 ,  4.32652562E-02 ,  5.52441079E-04 , -4.03233435E-04
      60 ,        9 ,  1.02758033E+00 ,  2.31061744E-02 ,  3.14697561E-03 ,  7.64480202E-03
      61 ,        9 ,  1.02976694E+00 , -9.75541867E-04 , -1.05321247E-02 , -1.93366447E-03
       1 ,       10 ,  1.03681054E+00 , -1.15953283E-03 ,  5.67633507E-03 , -1.48263573E-02
       2 ,       10 ,  1.03279372E+00 , -2.80094919E-02 ,  2.66240849E-03 ,  3.96212132E-04
       3 ,       10 ,  1.01566215E+00 , -5.01704794E-02 ,  8.44498729E-04 , -2.29044902E-04
       4 ,       10 ,  9.92616548E-01 , -6.51402284E-02 ,  3.82088720E-04 ,  3.01146577E-04
       5 ,       10 ,  9.67156703E-01 , -7.52667467E-02 ,  1.24882863E-04 , -6.01796691E-05
       6 ,       10 ,  9.39811804E-01 , -8.27910610E-02 ,  4.99035530E-05 ,  1.49582222E-05
       7 ,       10 ,  9.10090282E-01 , -8.91281926E-02 ,  1.59758290E-05 ,  3.03622584E-05
       8 ,       10 ,  8.77346878E-01 , -9.51265874E-02 ,  1.63218854E-05 ,  1.93393647E-05
       9 ,       10 ,  8.41107321E-01 , -1.01258035E-01 ,  1.50353733E-05 ,  8.49470629E-06
      10 ,       10 ,  8.01188052E-01 , -1.07695566E-01 ,  2.68160316E-05 ,  1.72952371E-07
      11 ,       10 ,  7.57706801E-01 , -1.14362584E-01 ,  2.16990139E-05 ,  2.37820618E-05
      12 ,       10 ,  7.11030136E-01 , -1.21002285E-01 , -1.61686387E-04 , -9.45944641E-05
      13 ,       10 ,  6.61700488E-01 , -1.27270793E-01 ,  5.06043952E-04 , -2.15666098E-04
      14 ,       10 ,  6.10369264E-01 , -1.32833097E-01 ,  2.32873527E-05 ,  3.18692165E-04
      15 ,       10 ,  5.57742714E-01 , -1.37438691E-01 , -9.33525106E-05 ,  1.61317501E-06
      16 ,       10 ,  5.04537404E-01 , -1.40962042E-01 , -2.59409897E-05 ,  3.34088820E-05
      17 ,       10 ,  4.51442105E-01 , -1.43403318E-01 ,  4.10300923E-06 ,  2.49697360E-05
      18 ,       10 ,  3.99085716E-01 , -1.44854210E-01 ,  1.86552013E-04 , -4.44190164E-05
      19 ,       10 ,  3.48012381E-01 , -1.45440876E-01 , -7.77310871E-05 ,  2.66507821E-05
      20 ,       10 ,  2.98664760E-01 , -1.45259477E-01 , -8.69529540E-05 ,  3.37786128E-05
      21 ,       10 ,  2.51375430E-01 , -1.44318585E-01 , -2.04627835E-04 , -1.58089582E-04
      22 ,       10 ,  2.06366120E-01 , -1.42497637E-01 , -1.76431420E-04 , -6.37685078E-05
      23 ,       10 ,  1.63755788E-01 , -1.39523377E-01 ,  9.07887569E-04 ,  4.83116864E-04
      24 ,       10 ,  1.23582612E-01 , -1.34959205E-01 ,  7.54995440E-04 ,  4.15436779E-05
      25 ,       10 ,  8.58523367E-02 , -1.28198205E-01 ,  3.55371738E-05 , -2.93676728E-04
      26 ,       10 ,  5.06357172E-02 , -1.18454205E-01 ,  5.44483723E-04 , -6.01876880E-04
      27 ,       10 ,  1.82486728E-02 , -1.04766372E-01 ,  1.31438156E-03 , -7.59047923E-04
      28 ,       10 , -1.04536989E-02 , -8.60894665E-02 , -1.44449132E-03 ,  1.27081418E-03
      29 ,       10 , -3.37105335E-02 , -6.16448603E-02 , -7.02864870E-04 ,  2.38618964E-03
      30 ,       10 , -4.87303445E-02 , -3.17608403E-02 , -5.89455335E-03 , -7.47250359E-03
      31 ,       10 , -5.25714346E-02 ,  1.00581861E-03 ,  8.12077596E-03 , -2.07079484E-03
      32 ,       10 , -4.43212189E-02 ,  3.19354042E-02 , -4.36471670E-04 , -1.18637364E-03
      33 ,       10 , -2.63151776E-02 ,  5.75019806E-02 , -1.03959992E-03 , -1.55319672E-03
      34 ,       10 , -2.08292426E-03 ,  7.67260703E-02 , -6.23924874E-04 ,  2.56734413E-03
      35 ,       10 ,  2.58548508E-02 ,  9.05728236E-02 ,  3.65172127E-03 , -7.04397182E-04
      36 ,       10 ,  5.64294977E-02 ,  1.00502946E-01 ,  6.60853837E-04 , -4.76367637E-04
      37 ,       10 ,  8.94443577E-02 ,  1.07754438E-01 , -1.23716414E-03 ,  3.89547312E-04
      38 ,       10 ,  1.25038304E-01 ,  1.13232480E-01 , -5.70439197E-05 , -7.86317521E-05
      39 ,       10 ,  1.63389530E-01 ,  1.17573232E-01 ,  3.09912301E-04 , -2.41118414E-04
      40 ,       10 ,  2.04584469E-01 ,  1.21207901E-01 ,  1.38800607E-04 ,  4.58392271E-05
      41 ,       10 ,  2.48576061E-01 ,  1.24398001E-01 ,  1.72600748E-05 ,  6.98581698E-09
      42 ,       10 ,  2.95183893E-01 ,  1.27253494E-01 , -3.98119841E-05 , -4.70699600E-06
      43 ,       10 ,  3.44108591E-01 ,  1.29749414E-01 ,  1.53911479E-05 , -2.62780848E-05
      44 ,       10 ,  3.94947369E-01 ,  1.31751402E-01 , -4.18776527E-05 ,  1.43043688E-05
      45 ,       10 ,  4.47207413E-01 ,  1.33054319E-01 ,  2.57079884E-05 , -1.69102388E-05
      46 ,       10 ,  5.00318639E-01 ,  1.33432248E-01 ,  3.30267113E-05 , -9.81328725E-06
      47 ,       10 ,  5.53648486E-01 ,  1.32693183E-01 ,  1.82974581E-05 , -1.50342386E-05
      48 ,       10 ,  6.06520748E-01 ,  1.30728284E-01 ,  2.74458671E-05 , -1.56806621E-05
      49 ,       10 ,  6.58239335E-01 ,  1.27544639E-01 ,  3.44653440E-05 ,  1.23981805E-05
      50 ,       10 ,  7.08117229E-01 ,  1.23272348E-01 , -7.69427464E-07 ,  4.29473366E-05
      51 ,       10 ,  7.55511740E-01 ,  1.18140761E-01 , -5.25731454E-05 ,  2.68115563E-05
      52 ,       10 ,  7.99869305E-01 ,  1.12424133E-01 , -7.11092468E-05 ,  2.79516515E-05
      53 ,       10 ,  8.40783892E-01 ,  1.06363157E-01 ,  8.07820200E-05 ,  2.42518509E-04
      54 ,       10 ,  8.78066204E-01 ,  1.00075426E-01 , -1.17387612E-03 , -1.03710992E-03
      55 ,       10 ,  9.11802119E-01 ,  9.34700549E-02 ,  1.05159273E-02 ,  6.23265733E-04
      56 ,       10 ,  9.42356255E-01 ,  8.61693003E-02 ,  1.88512893E-03 , -1.13405151E-03
      57 ,       10 ,  9.70260480E-01 ,  7.74064127E-02 , -3.17001293E-04 , -4.48883876E-04
      58 ,       10 ,  9.95874976E-01 ,  6.58400952E-02 , -2.86503607E-04 ,  5.51340569E-05
      59 ,       10 ,  1.01849174E+00 ,  4.93629541E-02 ,  4.17896605E-04 , -5.48824540E-04
      60 ,       10 ,  1.03444759E+00 ,  2.59892305E-02 ,  2.53810706E-03 , -3.65675509E-03
      61 ,       10 ,  1.03681054E+00 , -1.15953283E-03 , -1.20367531E-02 ,  1.10392484E-02
       1 ,       11 ,  1.04491912E+00 , -1.35411439E-03 ,  4.68386262E-03 , -1.15057006E-02
       2 ,       11 ,  1.04071460E+00 , -3.13807849E-02 ,  2.55631933E-03 ,  3.42431512E-04
       3 ,       11 ,  1.02320629E+00 , -5.68985582E-02 ,  6.38085659E-04 , -1.19392563E-04
       4 ,       11 ,  9.98962232E-01 , -7.49529631E-02 ,  2.93365933E-04 ,  2.99521501E-04
       5 ,       11 ,  9.71943897E-01 , -8.74049159E-02 ,  8.31036444E-05 , -3.75692448E-05
       6 ,       11 ,  9.43174049E-01 , -9.65507789E-02 ,  5.19287018E-05 ,  6.88419579E-06
       7 ,       11 ,  9.12383690E-01 , -1.03975870E-01 ,  2.01151138E-05 ,  2.37349476E-05
       8 ,       11 ,  8.78968187E-01 , -1.10659000E-01 ,  1.54033584E-05 ,  1.51293875E-05
       9 ,       11 ,  8.42391527E-01 , -1.17167761E-01 ,  1.27365055E-05 ,  2.71826483E-06
      10 ,       11 ,  8.02358643E-01 , -1.23761007E-01 ,  3.22972275E-05 , -1.61704160E-05
      11 ,       11 ,  7.58871814E-01 , -1.30444880E-01 ,  1.58800552E-08 , -4.76301711E-06
      12 ,       11 ,  7.12211002E-01 , -1.37034770E-01 , -7.64287314E-05 , -1.13426710E-04
      13 ,       11 ,  6.62871959E-01 , -1.43239763E-01 ,  6.34417667E-04 , -1.65560803E-04
      14 ,       11 ,  6.11492980E-01 , -1.48756018E-01 ,  6.85059557E-05 ,  3.41489062E-04
      15 ,       11 ,  5.58787414E-01 , -1.53345256E-01 , -1.15041407E-04 , -2.08907712E-05
      16 ,       11 ,  5.05486131E-01 , -1.56879980E-01 , -2.73204949E-05 ,  2.81367269E-05
      17 ,       11 ,  4.52289307E-01 , -1.59348413E-01 , -2.57865316E-05 ,  1.27753230E-05
      18 ,       11 ,  3.99827202E-01 , -1.60823441E-01 ,  1.64310878E-04 , -2.78417020E-05
      19 ,       11 ,  3.48630727E-01 , -1.61407869E-01 , -8.41662443E-05 ,  2.10528422E-05
      20 ,       11 ,  2.99112601E-01 , -1.61171720E-01 , -3.26786892E-05 , -2.33593048E-05
      21 ,       11 ,  2.51559371E-01 , -1.60095643E-01 , -1.69690541E-04 , -9.13721959E-05
      22 ,       11 ,  2.06134535E-01 , -1.58028821E-01 ,  2.21088310E-04 ,  4.82080064E-05
      23 ,       11 ,  1.62894617E-01 , -1.54662329E-01 ,  1.39416078E-03 ,  4.59085512E-04
      24 ,       11 ,  1.21824054E-01 , -1.49512377E-01 ,  3.45316582E-04 , -3.14760646E-04
      25 ,       11 ,  8.29018231E-02 , -1.41905449E-01 , -8.69324822E-05 , -1.97323533E-04
      26 ,       11 ,  4.62226825E-02 , -1.30964500E-01 ,  6.89810058E-04 , -9.45070439E-04
      27 ,       11 ,  1.22049268E-02 , -1.15622351E-01 ,  1.15629249E-03 , -8.33876306E-04
      28 ,       11 , -1.80952137E-02 , -9.47506814E-02 , -1.22837194E-03 ,  9.95833907E-04
      29 ,       11 , -4.26397993E-02 , -6.75859568E-02 , -2.35003989E-04 ,  1.71717549E-03
      30 ,       11 , -5.84005477E-02 , -3.46229803E-02 , -5.37841388E-03 , -5.56964590E-03
      31 ,       11 , -6.23799985E-02 ,  1.37217510E-03 ,  6.73976463E-03 , -1.80890340E-03
      32 ,       11 , -5.37002871E-02 ,  3.56379248E-02 , -2.36894622E-04 , -5.01271681E-04
      33 ,       11 , -3.46709787E-02 ,  6.43708660E-02 , -1.82973421E-03 , -1.32115424E-03
      34 ,       11 , -8.94749386E-03 ,  8.63063004E-02 , -4.72631771E-04 ,  8.56330340E-04
      35 ,       11 ,  2.06626731E-02 ,  1.02261537E-01 ,  2.01228163E-03 , -1.28950636E-04
      36 ,       11 ,  5.28035082E-02 ,  1.13730284E-01 ,  1.62378720E-03 , -6.91203515E-04
      37 ,       11 ,  8.71048282E-02 ,  1.22065727E-01 , -1.13532184E-03 ,  4.93830229E-04
      38 ,       11 ,  1.23646075E-01 ,  1.28287741E-01 , -4.69792050E-04 ,  9.80505263E-05
      39 ,       11 ,  1.62624820E-01 ,  1.33120860E-01 ,  1.95082006E-04 , -2.33900554E-04
      40 ,       11 ,  2.04190809E-01 ,  1.37060570E-01 ,  1.83999419E-04 , -6.59009200E-05
      41 ,       11 ,  2.48376049E-01 ,  1.40416842E-01 ,  2.71741566E-05 , -5.35921751E-05
      42 ,       11 ,  2.95075130E-01 ,  1.43338522E-01 , -3.27350059E-05 , -4.85584635E-06
      43 ,       11 ,  3.44048717E-01 ,  1.45833203E-01 , -7.30445126E-06 ,  5.77705664E-06
      44 ,       11 ,  3.94935346E-01 ,  1.47794084E-01 , -3.90689024E-05 , -8.68112070E-06
      45 ,       11 ,  4.47265333E-01 ,  1.49038989E-01 ,  3.68034011E-05 , -2.18342152E-05
      46 ,       11 ,  5.00476062E-01 ,  1.49360366E-01 ,  4.18435783E-05 , -2.29665234E-05
      47 ,       11 ,  5.53930271E-01 ,  1.48579639E-01 ,  2.94963604E-05 , -2.14268715E-05
      48 ,       11 ,  6.06939290E-01 ,  1.46595655E-01 ,  4.11578736E-05 ,  4.87097156E-06
      49 ,       11 ,  6.58792625E-01 ,  1.43415745E-01 ,  3.74382492E-05 ,  3.97083006E-05
      50 ,       11 ,  7.08794913E-01 ,  1.39159744E-01 , -6.74350005E-06 ,  3.55067348E-05
      51 ,       11 ,  7.56311753E-01 ,  1.34031854E-01 , -4.94701229E-05 , -9.48260088E-06
      52 ,       11 ,  8.00826229E-01 ,  1.28261925E-01 , -2.99530680E-05 , -3.13514189E-05
      53 ,       11 ,  8.42004594E-01 ,  1.22025440E-01 ,  4.68323532E-04 ,  2.18133828E-05
      54 ,       11 ,  8.79758577E-01 ,  1.15357196E-01 ,  2.33633549E-04 , -5.14837040E-05
      55 ,       11 ,  9.14275558E-01 ,  1.08070634E-01 , -8.93697516E-04 ,  2.13937648E-03
      56 ,       11 ,  9.45975902E-01 ,  9.96761175E-02 ,  1.20529757E-03 , -2.17170088E-03
      57 ,       11 ,  9.75342903E-01 ,  8.92634610E-02 , -2.08703690E-04 , -5.60721247E-04
      58 ,       11 ,  1.00250026E+00 ,  7.53233367E-02 , -2.82758781E-04 ,  4.98723457E-06
      59 ,       11 ,  1.02623935E+00 ,  5.57210255E-02 ,  4.98296588E-04 ,  1.59370109E-04
      60 ,       11 ,  1.04247008E+00 ,  2.89864096E-02 ,  7.08165388E-04 ,  2.18522877E-03
      61 ,       11 ,  1.04491912E+00 , -1.35411439E-03 , -1.04101970E-02 , -1.73451246E-03
       1 ,       12 ,  1.05429625E+00 , -1.55896731E-03 ,  3.97023948E-03 , -8.03748374E-03
       2 ,       12 ,  1.04999347E+00 , -3.49169566E-02 ,  2.31477891E-03 ,  4.49023406E-04
       3 ,       12 ,  1.03214516E+00 , -6.39607847E-02 ,  4.44887120E-04 ,  2.48804410E-05
       4 ,       12 ,  1.00676127E+00 , -8.53774918E-02 ,  2.19267062E-04 ,  2.20217329E-04
       5 ,       12 ,  9.78125269E-01 , -1.00503068E-01 ,  4.79297158E-05 , -1.65045547E-05
       6 ,       12 ,  9.47747227E-01 , -1.11591631E-01 ,  4.80859100E-05 , -8.10242181E-08
       7 ,       12 ,  9.15636303E-01 , -1.20370903E-01 ,  2.43354885E-05 ,  1.58927827E-05
       8 ,       12 ,  8.81283064E-01 , -1.27955221E-01 ,  1.68022124E-05 ,  1.36231051E-05
       9 ,       12 ,  8.44134101E-01 , -1.35013936E-01 ,  1.41936968E-05 ,  3.05885426E-06
      10 ,       12 ,  8.03811792E-01 , -1.41892197E-01 ,  3.29546253E-05 , -5.91182780E-06
      11 ,       12 ,  7.60210859E-01 , -1.48679324E-01 ,  5.81220794E-06 , -2.60790958E-05
      12 ,       12 ,  7.13514039E-01 , -1.55268406E-01 , -2.03515730E-04 , -1.55286973E-04
      13 ,       12 ,  6.64151159E-01 , -1.61431682E-01 ,  3.42453847E-04 , -1.77037616E-04
      14 ,       12 ,  6.12728789E-01 , -1.66907475E-01 ,  1.04122229E-04 ,  4.43081373E-04
      15 ,       12 ,  5.59953468E-01 , -1.71478057E-01 , -1.32357652E-04 , -6.49371108E-05
      16 ,       12 ,  5.06560963E-01 , -1.75018183E-01 , -1.82724419E-05 ,  1.41848897E-05
      17 ,       12 ,  4.53256056E-01 , -1.77504549E-01 , -5.08745229E-05 , -1.41270427E-05
      18 ,       12 ,  4.00664425E-01 , -1.78988902E-01 ,  1.36852633E-04 , -2.86126458E-05
      19 ,       12 ,  3.49297738E-01 , -1.79546748E-01 , -1.17694416E-04 ,  4.57668756E-05
      20 ,       12 ,  2.99532851E-01 , -1.79217323E-01 ,  1.03223567E-04 , -1.27052981E-04
      21 ,       12 ,  2.51605568E-01 , -1.77948478E-01 , -1.01639056E-04 , -1.85860638E-04
      22 ,       12 ,  2.05619501E-01 , -1.75554040E-01 ,  5.45254579E-04 ,  1.64179720E-04
      23 ,       12 ,  1.61572128E-01 , -1.71683700E-01 ,  1.26574181E-03 ,  3.32399588E-04
      24 ,       12 ,  1.19403998E-01 , -1.65799835E-01 , -2.30642013E-04 , -3.78127314E-04
      25 ,       12 ,  7.90841196E-02 , -1.57155491E-01 , -3.73271630E-04 , -1.77076250E-04
      26 ,       12 ,  4.07543275E-02 , -1.44778815E-01 ,  4.44970658E-04 , -7.11444203E-04
      27 ,       12 ,  4.96149239E-03 , -1.27501575E-01 ,  1.13011247E-04 ,  4.14363356E-06
      28 ,       12 , -2.70172762E-02 , -1.04134008E-01 , -8.32855868E-04 ,  1.49187173E-03
      29 ,       12 , -5.28714330E-02 , -7.39622587E-02 ,  1.09446947E-04 ,  1.35772859E-03
      30 ,       12 , -6.93713579E-02 , -3.76685630E-02 , -4.86881838E-03 , -3.95881512E-03
      31 ,       12 , -7.34968551E-02 ,  1.78254790E-03 ,  5.56336797E-03 , -1.60352001E-03
      32 ,       12 , -6.44126374E-02 ,  3.95844288E-02 , -1.78559763E-04 ,  2.91480202E-05
      33 ,       12 , -4.43895248E-02 ,  7.17257063E-02 , -1.75540102E-03 , -1.21476147E-03
      34 ,       12 , -1.71572840E-02 ,  9.66653277E-02 , -7.85842566E-05 ,  8.51669422E-05
      35 ,       12 ,  1.42221248E-02 ,  1.15035613E-01 , -9.31895629E-06 ,  9.69028026E-04
      36 ,       12 ,  4.80990380E-02 ,  1.28322628E-01 ,  1.71687296E-03 , -4.70272719E-04
      37 ,       12 ,  8.39001480E-02 ,  1.37976090E-01 , -5.71709288E-04 ,  3.11892209E-04
      38 ,       12 ,  1.21612538E-01 ,  1.45129460E-01 , -6.62250966E-04 ,  1.27537617E-04
      39 ,       12 ,  1.61425739E-01 ,  1.50600829E-01 , -6.51044764E-05 , -8.79554785E-05
      40 ,       12 ,  2.03534529E-01 ,  1.54955450E-01 ,  1.94673578E-04 , -1.64189715E-04
      41 ,       12 ,  2.48042266E-01 ,  1.58556414E-01 ,  9.93307047E-05 , -5.63469463E-06
      42 ,       12 ,  2.94920119E-01 ,  1.61596104E-01 ,  6.74355943E-07 ,  2.05040360E-05
      43 ,       12 ,  3.43996115E-01 ,  1.64119943E-01 , -2.04105377E-05 ,  2.46335596E-05
      44 ,       12 ,  3.94959293E-01 ,  1.66054430E-01 , -1.10636708E-05 , -1.60866467E-05
      45 ,       12 ,  4.47371497E-01 ,  1.67245899E-01 ,  4.23236686E-05 , -2.03759375E-05
      46 ,       12 ,  5.00684228E-01 ,  1.67509685E-01 ,  4.27977695E-05 , -3.52256555E-05
      47 ,       12 ,  5.54260836E-01 ,  1.66683373E-01 ,  3.26098170E-05 , -1.47122923E-05
      48 ,       12 ,  6.07405519E-01 ,  1.64673627E-01 ,  3.38082100E-05 ,  3.73532012E-05
      49 ,       12 ,  6.59400627E-01 ,  1.61484792E-01 ,  1.25585138E-05 ,  6.42428245E-05
      50 ,       12 ,  7.09553512E-01 ,  1.57219464E-01 , -2.50777302E-05 ,  2.11587566E-05
      51 ,       12 ,  7.57253509E-01 ,  1.52046668E-01 , -4.35327744E-05 , -3.59381866E-05
      52 ,       12 ,  8.02037286E-01 ,  1.46141117E-01 , -1.24104854E-05 , -4.42076577E-05
      53 ,       12 ,  8.43654101E-01 ,  1.39604905E-01 ,  2.02951328E-04 ,  1.28100480E-04
      54 ,       12 ,  8.82111517E-01 ,  1.32385927E-01 , -1.19611660E-03 ,  9.08599609E-04
      55 ,       12 ,  9.17672478E-01 ,  1.24199305E-01 ,  3.67194646E-03 , -4.28838700E-04
      56 ,       12 ,  9.50769487E-01 ,  1.14438599E-01 , -1.72020192E-03 , -6.64606052E-04
      57 ,       12 ,  9.81781466E-01 ,  1.02049038E-01 ,  4.23456489E-05 , -5.60883838E-04
      58 ,       12 ,  1.01054064E+00 ,  8.53862578E-02 , -1.14429841E-04 ,  7.02804970E-05
      59 ,       12 ,  1.03534996E+00 ,  6.23862334E-02 ,  1.89275082E-04 , -1.86209574E-04
      60 ,       12 ,  1.05183335E+00 ,  3.21232994E-02 ,  5.67737008E-04 ,  1.50239293E-03
      61 ,       12 ,  1.05429625E+00 , -1.55896731E-03 , -8.90633920E-03 , -4.42610341E-03
       1 ,       13 ,  1.06517196E+00 , -1.77305240E-03 ,  3.50468534E-03 , -4.24214478E-03
       2 ,       13 ,  1.06084413E+00 , -3.86419337E-02 ,  2.06351295E-03 ,  4.70137593E-04
       3 ,       13 ,  1.04268710E+00 , -7.14036741E-02 ,  3.64408560E-04 ,  1.43017612E-04
       4 ,       13 ,  1.01621867E+00 , -9.64578924E-02 ,  1.79054782E-04 ,  8.32340370E-05
       5 ,       13 ,  9.85927194E-01 , -1.14611823E-01 ,  3.61533037E-05 , -1.19606845E-05
       6 ,       13 ,  9.53779506E-01 , -1.27989886E-01 ,  4.19658489E-05 , -8.46171093E-06
       7 ,       13 ,  9.20103172E-01 , -1.38421175E-01 ,  2.56879026E-05 ,  8.55698924E-06
       8 ,       13 ,  8.84533963E-01 , -1.47153582E-01 ,  1.81622874E-05 ,  1.51978513E-05
       9 ,       13 ,  8.46545234E-01 , -1.54964684E-01 ,  1.60906087E-05 ,  9.51098677E-06
      10 ,       13 ,  8.05711281E-01 , -1.62288405E-01 ,  3.18179163E-05 ,  4.64811561E-06
      11 ,       13 ,  7.61837941E-01 , -1.69296880E-01 ,  2.41048315E-05 , -2.45140358E-05
      12 ,       13 ,  7.15010721E-01 , -1.75962849E-01 , -2.43970487E-04 , -1.15918935E-04
      13 ,       13 ,  6.65579536E-01 , -1.82128309E-01 ,  1.75904383E-04 , -1.39241709E-04
      14 ,       13 ,  6.14099844E-01 , -1.87583155E-01 ,  9.43461490E-05 ,  3.51986857E-04
      15 ,       13 ,  5.61253190E-01 , -1.92138924E-01 , -1.28319661E-04 , -7.09304731E-05
      16 ,       13 ,  5.07765708E-01 , -1.95678195E-01 , -5.54277555E-06 , -5.78398220E-06
      17 ,       13 ,  4.54335563E-01 , -1.98167939E-01 , -6.50490980E-05 , -2.63982603E-05
      18 ,       13 ,  4.01574778E-01 , -1.99637463E-01 ,  1.04034036E-04 ,  1.87358651E-06
      19 ,       13 ,  3.49968238E-01 , -2.00131725E-01 , -2.02475739E-04 ,  9.79731142E-05
      20 ,       13 ,  2.99851253E-01 , -1.99654985E-01 , -6.65693317E-05 , -5.99390963E-05
      21 ,       13 ,  2.51406219E-01 , -1.98117677E-01 , -7.00566495E-05 ,  7.84257569E-05
      22 ,       13 ,  2.04678697E-01 , -1.95293119E-01 ,  7.78547558E-04 ,  2.80006497E-04
      23 ,       13 ,  1.59614587E-01 , -1.90783541E-01 ,  1.29717155E-03 ,  3.85854273E-04
      24 ,       13 ,  1.16124094E-01 , -1.83990494E-01 , -1.81796808E-04 , -1.65786347E-04
      25 ,       13 ,  7.41856004E-02 , -1.74087166E-01 , -2.15325229E-04 , -1.46273173E-04
      26 ,       13 ,  3.40118861E-02 , -1.60005051E-01 ,  5.96376369E-04 , -5.06202248E-04
      27 ,       13 , -3.69737467E-03 , -1.40484128E-01 , -3.46390881E-04 , -2.68845910E-04
      28 ,       13 , -3.74303371E-02 , -1.14298382E-01 , -3.89644659E-04 ,  8.03433249E-04
      29 ,       13 , -6.46155446E-02 , -8.08164549E-02 ,  4.08176424E-04 ,  9.65551860E-04
      30 ,       13 , -8.18578935E-02 , -4.09223311E-02 , -4.34661321E-03 , -2.67599704E-03
      31 ,       13 , -8.61409634E-02 ,  2.23390518E-03 ,  4.55325291E-03 , -1.39994792E-03
      32 ,       13 , -7.66746714E-02 ,  4.38017383E-02 , -2.34781551E-04 ,  3.82036385E-05
      33 ,       13 , -5.56822912E-02 ,  7.96121131E-02 , -7.70928096E-04 , -1.82310631E-03
      34 ,       13 , -2.69280146E-02 ,  1.07863064E-01 ,  6.53936679E-04 , -4.47897777E-04
      35 ,       13 ,  6.30722607E-03 ,  1.28975362E-01 ,  4.93169198E-04 ,  1.63730836E-03
      36 ,       13 ,  4.20834876E-02 ,  1.44387867E-01 ,  1.67658703E-03 , -8.84767565E-05
      37 ,       13 ,  7.96014693E-02 ,  1.55623408E-01 ,  1.65843865E-04 ,  1.22204007E-04
      38 ,       13 ,  1.18725399E-01 ,  1.63924178E-01 , -6.69541504E-04 ,  1.43369827E-04
      39 ,       13 ,  1.59608700E-01 ,  1.70205967E-01 , -3.04378552E-04 ,  1.02659459E-05
      40 ,       13 ,  2.02469431E-01 ,  1.75109602E-01 ,  1.72048709E-04 , -1.69146795E-04
      41 ,       13 ,  2.47468979E-01 ,  1.79056181E-01 ,  1.36222566E-04 ,  5.30719144E-05
      42 ,       13 ,  2.94650776E-01 ,  1.82285793E-01 , -3.80252279E-06 , -1.18259156E-05
      43 ,       13 ,  3.43913347E-01 ,  1.84886091E-01 , -3.51786867E-05 ,  8.61574773E-07
      44 ,       13 ,  3.95003846E-01 ,  1.86821870E-01 ,  4.72443432E-05 , -1.72903350E-05
      45 ,       13 ,  4.47524839E-01 ,  1.87973124E-01 ,  3.42479706E-05 , -3.21589797E-06
      46 ,       13 ,  5.00951031E-01 ,  1.88182410E-01 ,  4.99976385E-05 , -4.85234027E-05
      47 ,       13 ,  5.54655200E-01 ,  1.87305838E-01 ,  4.18978635E-05 , -1.38366507E-06
      48 ,       13 ,  6.07943953E-01 ,  1.85257279E-01 ,  2.17069891E-05 ,  5.83324719E-05
      49 ,       13 ,  6.60104265E-01 ,  1.82033877E-01 , -1.35362044E-05 ,  6.96228484E-05
      50 ,       13 ,  7.10461054E-01 ,  1.77713451E-01 , -3.59960116E-05 ,  8.09653859E-06
      51 ,       13 ,  7.58443826E-01 ,  1.72420581E-01 , -3.07078894E-05 , -3.92244780E-05
      52 ,       13 ,  8.03655691E-01 ,  1.66266539E-01 , -3.52440441E-06 , -2.50346991E-05
      53 ,       13 ,  8.45930423E-01 ,  1.59274806E-01 , -1.06916763E-05 ,  2.41439335E-04
      54 ,       13 ,  8.85355742E-01 ,  1.51303619E-01 , -3.56166456E-04 ,  1.20059548E-03
      55 ,       13 ,  9.22237663E-01 ,  1.41966367E-01 ,  1.61736866E-03 , -9.07197632E-04
      56 ,       13 ,  9.56976321E-01 ,  1.30535282E-01 ,  4.41333595E-04 , -9.83422140E-04
      57 ,       13 ,  9.89795135E-01 ,  1.15817060E-01 ,  1.08496214E-05 , -4.62299034E-04
